   0,           256,             1,           256,            0,            0
   1,             0,             0,          3584,            0,            0
   2,             0,             0,         23296,            0,            0
   3,          1368,    0.01468063,         93184, 6.438874e-05,  0.004405286
   4,          4141,    0.01615962,        256256, 0.0001365822,  0.008524111
   5,          8164,    0.01592938,        512512, 0.0003785277,   0.02321129
   6,         12173,    0.01583443,        768768, 0.0001053634,  0.006698644
   7,         13715,     0.0156102,        878592, 0.0002811316,   0.01833977
   8,         11793,    0.01534013,        768768, 0.0001183712,  0.007657354
   9,          8042,    0.01569134,        512512, 0.0002614573,   0.01638943
  10,          4177,    0.01630011,        256256, 0.0001678009,   0.01040155
  11,          1264,    0.01356456,         93184, 2.146291e-05,  0.001584786
  12,           301,    0.01292067,         23296, 0.0001287775,  0.009868421
  13,           136,    0.03794643,          3584, 0.0005580357,   0.01492537
  14,             0,             0,           256,            0,            0


0,"Kernel Runtime",0.001112096,s
1,"Total Runtime",0.002080807,s

"Total",65530
"MaxAbsErr",0.0005580357
"MaxRelErr",0.02321129

"Device", 0, "MemClock [MHz]", 2505, "GPUClock [MHz]", 823
