   0,           341,       1.33203,           256,    0.3320312,    0.3320312
   1,             0,             0,          3328,            0,            0
   2,             0,             0,         19968,            0,            0
   3,             0,             0,         73216,            0,            0
   4,         12373,    0.06759725,        183040,   0.00932583,    0.1212358
   5,             0,             0,        329472,            0,            0
   6,         25856,    0.05885781,        439296,  0.002913753,   0.05208333
   7,             0,             0,        439296,            0,            0
   8,         22016,    0.06682207,        329472, 0.0007770008,   0.01149425
   9,             0,             0,        183040,            0,            0
  10,          4608,    0.06293706,         73216,  0.006993007,        0.125
  11,             0,             0,         19968,            0,            0
  12,           341,     0.1024639,          3328,   0.02554087,    0.3320312
  13,             0,             0,           256,            0,            0


0,"Kernel Runtime",0.000129568,s
1,"Total Runtime",0.04601699,s

"Total",65535
"MaxAbsErr",0.3320312
"MaxRelErr",0.3320312

